source,zoom,xmean,ymean,xsigma,ysigma,notes,
0,3,-,-,-,-,-,
1,3,-,-,-,-,-,
2,4,-,-,-,-,-,
3,2,-,-,-,-,-,
4,2,-,-,-,-,-,
5,4,-,-,-,-,-,
7,2,-,-,-,-,-,
8,4,-,-,-,-,-,
10,2,-,-,-,-,-,
11,2,-,-,-,-,-,
13,2,-,-,-,-,-,
14,2,-,-,-,-,-,
16,2,-,-,-,-,-,
17,2,-,-,-,-,-,
19,4,-,-,-,-,-,
20,2,-,-,-,-,-,
21,2,-,-,-,-,-,
22,2,-,-,-,-,-,
23,3,-,-,-,-,-,
24,2,-,-,-,-,-,
25,3,-,-,-,-,-,
27,2,-,-,-,-,-,
28,2,-,-,-,-,-,
29,3,-,-,-,-,-,
30,2,-,-,-,-,-,
31,2,-,-,-,-,-,
32,2,-,-,-,-,-,
33,4,-,-,-,-,-,
34,2,-,-,-,-,-,
35,2,-,-,-,-,-,
36,3,-,-,-,-,-,
37,2,-,-,-,-,-,
38,2,-,-,-,-,-,
39,2,-,-,-,-,-,
40,3,-,-,-,-,-,
41,2,-,-,-,-,-,
42,3,-,-,-,-,-,
43,3,-,-,-,-,-,
44,2,-,-,-,-,-,
45,3,-,-,-,-,-,
46,2,-,-,-,-,-,
47,2,-,-,-,-,-,
48,2,-,-,-,-,-,
50,2,-,-,-,-,-,
51,2,-,-,-,-,-,
52,3,-20,20,10,10,-,
53,2,-,-,-,-,-,
54,3,-,-,-,-,-,
55,4,-,-,-,-,-,
56,4,-,-,-,-,-,
57,4,-20,20,10,10,-,
58,6.5,-,-,-,-,can't get a great fit,
59,3,-,-,-,-,-,
60,2,-,-,-,-,-,
61,3,-,-,-,-,-,
62,2,-,-,-,-,-,
63,3,-,-,-,-,-,
64,3,-,-,-,-,-,
65,3,-,-,-,-,-,
66,5,-,-,-,-,-,
67,2,-,-,-,-,-,
68,5,-,-,-,-,-,
69,4,-,-,-,-,-,
70,5,-,-,-,-,-,
71,4,20,-20,10,10,-,
73,2,-,-,-,-,-,
74,4,-,-,-,-,-,
76,3,-,-,-,-,-,
77,4,-20,0,10,10,-,
79,5,-,-,-,-,-,
80,3,-,-,-,-,-,
81,3,-,-,-,-,-,
82,2,-,-,-,-,-,
83,3,-,-,-,-,-,
84,3,-,-,-,-,-,
85,3,-,-,-,-,-,
86,4,-,-,-,-,-,
87,3,-,-,-,-,-,
88,3,-,-,-,-,-,
89,3,-,-,-,-,-,
91,2,-,-,-,-,-,
92,3,-,-,-,-,-,
93,5,-,-,-,-,-,
94,3,-,-,-,-,-,
95,3,-,-,-,-,-,
96,2,-,-,-,-,-,
97,4,-,-,-,-,-,
98,3,-,-,-,-,-,
99,2,-,-,-,-,-,
101,2,-,-,-,-,-,
100,3,-,-,-,-,-,
102,4,-,-,-,-,can't get a good fit,
103,3,-,-,-,-,-,
105,3,-,-,-,-,-,
106,4.5,-,-,-,-,can't get a good fit,
107,5,-,-,-,-,can't get good fit,
108,3,-,-,-,-,-,
109,4,-,-,-,-,-,
110,5,-,-,-,-,-,
111,3,-,-,-,-,-,
112,3,-,-,-,-,-,
113,2,-,-,-,-,-,
114,1,-,-,-,-,-,
115,1,-,-,-,-,-,
116,1,-,-,-,-,-,
117,4,-,-,-,-,-,
118,2,-,-,-,-,-,
119,4,-,-,-,-,-,
120,3,-,-,-,-,-,
121,3,-,-,-,-,-,
122,4,-,-,-,-,-,
123,5,-,-,-,-,-,
124,4,-,-,-,-,-,
125,4,-,-,-,-,-,
126,1,-,-,-,-,-,
127,1,-,-,-,-,-,
128,3,-,-,-,-,-,